,0,1,2
0,"March 31, 2016",0.749411,AED UAE Dirham
0,"April 30, 2016",0.766435,AED UAE Dirham
0,"May 31, 2016",0.732371,AED UAE Dirham
0,"June 30, 2016",0.739273,AED UAE Dirham
0,"July 31, 2016",0.752822,AED UAE Dirham
0,"August 31, 2016",0.762738,AED UAE Dirham
0,"September 30, 2016",0.757159,AED UAE Dirham
0,"October 31, 2016",0.761607,AED UAE Dirham
0,"November 30, 2016",0.752025,AED UAE Dirham
0,"December 31, 2016",0.733774,AED UAE Dirham
0,"January 31, 2017",0.745303,AED UAE Dirham
0,"February 28, 2017",0.766843,AED UAE Dirham
0,"March 31, 2017",0.762076,AED UAE Dirham
0,"April 30, 2017",0.753423,AED UAE Dirham
0,"May 31, 2017",0.743242,AED UAE Dirham
0,"June 30, 2017",0.755527,AED UAE Dirham
0,"July 31, 2017",0.780004,AED UAE Dirham
0,"August 31, 2017",0.791564,AED UAE Dirham
0,"September 30, 2017",0.797674,AED UAE Dirham
0,"October 31, 2017",0.778581,AED UAE Dirham
0,"November 30, 2017",0.762175,AED UAE Dirham
0,"December 31, 2017",0.765781,AED UAE Dirham
0,"January 31, 2018",0.7954,AED UAE Dirham
0,"February 28, 2018",0.786972,AED UAE Dirham
0,"March 31, 2018",0.775811,AED UAE Dirham
0,"April 30, 2018",0.768174,AED UAE Dirham
0,"May 31, 2018",0.75304,AED UAE Dirham
0,"June 30, 2018",0.749633,AED UAE Dirham
0,"July 31, 2018",0.740481,AED UAE Dirham
0,"August 31, 2018",0.732792,AED UAE Dirham
0,"September 30, 2018",0.720047,AED UAE Dirham
0,"October 31, 2018",0.710399,AED UAE Dirham
0,"November 30, 2018",0.724688,AED UAE Dirham
0,"December 31, 2018",0.716011,AED UAE Dirham
0,"January 31, 2019",0.715311,AED UAE Dirham
0,"February 28, 2019",0.714243,AED UAE Dirham
0,"March 31, 2019",0.707874,AED UAE Dirham
0,"April 30, 2019",0.711352,AED UAE Dirham
0,"May 31, 2019",0.694645,AED UAE Dirham
0,"June 30, 2019",0.694795,AED UAE Dirham
0,"July 31, 2019",0.698253,AED UAE Dirham
0,"August 31, 2019",0.67743,AED UAE Dirham
0,"September 30, 2019",0.680854,AED UAE Dirham
0,"October 31, 2019",0.680027,AED UAE Dirham
0,"November 30, 2019",0.68277,AED UAE Dirham
0,"December 31, 2019",0.688739,AED UAE Dirham
0,"January 08, 2020",0.694128,AED UAE Dirham
0,Average,{{results.average}},AED UAE Dirham
0,{{point.Date}},{{point.Rate}},AED UAE Dirham
0,Average,0.761312,ARS Argentine Peso
0,"January 31, 1990",0.781105,ARS Argentine Peso
0,"February 28, 1990",0.759321,ARS Argentine Peso
0,"March 31, 1990",0.755618,ARS Argentine Peso
0,"April 30, 1990",0.763662,ARS Argentine Peso
0,"May 31, 1990",0.761055,ARS Argentine Peso
0,"June 30, 1990",0.779029,ARS Argentine Peso
0,"July 31, 1990",0.790762,ARS Argentine Peso
0,"August 31, 1990",0.808713,ARS Argentine Peso
0,"September 30, 1990",0.825116,ARS Argentine Peso
0,"October 31, 1990",0.800595,ARS Argentine Peso
0,"November 30, 1990",0.7729,ARS Argentine Peso
0,"December 31, 1990",0.77019,ARS Argentine Peso
0,"January 31, 1991",0.779295,ARS Argentine Peso
0,"February 28, 1991",0.783505,ARS Argentine Peso
0,"March 31, 1991",0.771067,ARS Argentine Peso
0,"April 30, 1991",0.779468,ARS Argentine Peso
0,"May 31, 1991",0.774268,ARS Argentine Peso
0,"June 30, 1991",0.759815,ARS Argentine Peso
0,"July 31, 1991",0.771559,ARS Argentine Peso
0,"August 31, 1991",0.782345,ARS Argentine Peso
0,"September 30, 1991",0.79369,ARS Argentine Peso
0,"October 31, 1991",0.792505,ARS Argentine Peso
0,"November 30, 1991",0.786595,ARS Argentine Peso
0,"December 31, 1991",0.771224,ARS Argentine Peso
0,"January 31, 1992",0.747557,ARS Argentine Peso
0,"February 29, 1992",0.751784,ARS Argentine Peso
0,"March 31, 1992",0.758645,ARS Argentine Peso
0,"April 30, 1992",0.762405,ARS Argentine Peso
0,"May 31, 1992",0.75587,ARS Argentine Peso
0,"June 30, 1992",0.755605,ARS Argentine Peso
0,"July 31, 1992",0.745065,ARS Argentine Peso
0,"August 31, 1992",0.724786,ARS Argentine Peso
0,"September 30, 1992",0.722548,ARS Argentine Peso
0,"October 31, 1992",0.71481,ARS Argentine Peso
0,"November 30, 1992",0.689837,ARS Argentine Peso
0,"December 31, 1992",0.689736,ARS Argentine Peso
0,"January 31, 1993",0.672974,ARS Argentine Peso
0,"February 28, 1993",0.682937,ARS Argentine Peso
0,"March 31, 1993",0.707752,ARS Argentine Peso
0,"April 30, 1993",0.711545,ARS Argentine Peso
0,"May 31, 1993",0.698585,ARS Argentine Peso
0,"June 30, 1993",0.674918,ARS Argentine Peso
0,"July 31, 1993",0.677876,ARS Argentine Peso
0,"August 31, 1993",0.677364,ARS Argentine Peso
0,"September 30, 1993",0.651667,ARS Argentine Peso
0,"October 31, 1993",0.661,ARS Argentine Peso
0,"November 30, 1993",0.66465,ARS Argentine Peso
0,"December 31, 1993",0.673635,ARS Argentine Peso
0,"January 31, 1994",0.696075,ARS Argentine Peso
0,"February 28, 1994",0.716105,ARS Argentine Peso
0,"March 31, 1994",0.71087,ARS Argentine Peso
0,"April 30, 1994",0.715648,ARS Argentine Peso
0,"May 31, 1994",0.724333,ARS Argentine Peso
0,"June 30, 1994",0.732909,ARS Argentine Peso
0,"July 31, 1994",0.734085,ARS Argentine Peso
0,"August 31, 1994",0.7401,ARS Argentine Peso
0,"September 30, 1994",0.742,ARS Argentine Peso
0,"October 31, 1994",0.737875,ARS Argentine Peso
0,"November 30, 1994",0.75492,ARS Argentine Peso
0,"December 31, 1994",0.773886,ARS Argentine Peso
0,"January 31, 1995",0.76469,ARS Argentine Peso
0,"February 28, 1995",0.744726,ARS Argentine Peso
0,"March 31, 1995",0.734517,ARS Argentine Peso
0,"April 30, 1995",0.73564,ARS Argentine Peso
0,"May 31, 1995",0.727164,ARS Argentine Peso
0,"June 30, 1995",0.719591,ARS Argentine Peso
0,"July 31, 1995",0.72792,ARS Argentine Peso
0,"August 31, 1995",0.741365,ARS Argentine Peso
0,"September 30, 1995",0.75371,ARS Argentine Peso
0,"October 31, 1995",0.75699,ARS Argentine Peso
0,"November 30, 1995",0.745343,ARS Argentine Peso
0,"December 31, 1995",0.740525,ARS Argentine Peso
